Id,SleepDay,TotalMinutesAsleep,TotalSleepRecords,TotalTimeInBed
5553957443,2016-04-27,347,1,391
5553957443,2016-04-28,421,1,457
5553957443,2016-04-29,450,1,495
5553957443,2016-04-30,775,2,843
5553957443,2016-05-01,622,2,686
5553957443,2016-05-02,409,1,471
5553957443,2016-05-03,380,1,429
5553957443,2016-05-04,447,1,470
5553957443,2016-05-05,419,1,464
5553957443,2016-05-06,400,1,434
5553957443,2016-05-07,442,1,470
5553957443,2016-05-08,568,1,608
5553957443,2016-05-09,453,1,494
5553957443,2016-05-10,418,1,443
5553957443,2016-05-11,463,1,486
5553957443,2016-05-12,438,1,475
5577150313,2016-04-12,419,1,438
5577150313,2016-04-13,432,1,458
5577150313,2016-04-14,477,1,497
5577150313,2016-04-15,392,1,413
5577150313,2016-04-16,406,1,445
5577150313,2016-04-17,549,1,583
5577150313,2016-04-18,527,1,553
5577150313,2016-04-19,449,1,465
5577150313,2016-04-20,447,1,480
5577150313,2016-04-21,414,1,437
5577150313,2016-04-22,338,1,366
5577150313,2016-04-23,384,1,402
5577150313,2016-04-24,543,1,615
5577150313,2016-04-25,421,1,461
5577150313,2016-04-26,354,1,377
5577150313,2016-04-27,424,1,452
5577150313,2016-04-28,361,1,372
5577150313,2016-04-29,459,1,485
5577150313,2016-04-30,412,1,433
5577150313,2016-05-01,379,1,398
5577150313,2016-05-02,525,2,553
5577150313,2016-05-03,508,1,543
5577150313,2016-05-04,603,1,634
5577150313,2016-05-05,74,1,78
5577150313,2016-05-10,504,1,562
5577150313,2016-05-11,431,1,476
6117666160,2016-04-16,380,1,398
6117666160,2016-04-17,336,2,350
6117666160,2016-04-18,493,2,510
6117666160,2016-04-19,465,1,492
6117666160,2016-04-20,474,1,502
6117666160,2016-04-21,508,1,550
6117666160,2016-04-22,480,1,546
6117666160,2016-04-23,492,1,539
6117666160,2016-04-24,353,1,367
6117666160,2016-04-27,542,1,557
6117666160,2016-04-28,393,1,416
6117666160,2016-04-29,600,1,636
6117666160,2016-05-01,507,1,575
6117666160,2016-05-05,392,1,415
6117666160,2016-05-06,658,2,698
6117666160,2016-05-07,498,2,507
6117666160,2016-05-08,555,1,603
6117666160,2016-05-09,492,1,522
6775888955,2016-04-13,235,1,260
6775888955,2016-04-14,423,1,441
6775888955,2016-04-15,391,1,406
6962181067,2016-04-12,366,1,387
6962181067,2016-04-13,630,3,679
6962181067,2016-04-14,508,2,535
6962181067,2016-04-15,370,1,386
6962181067,2016-04-16,357,1,366
6962181067,2016-04-17,427,1,446
6962181067,2016-04-18,442,1,458
6962181067,2016-04-19,476,1,535
6962181067,2016-04-20,418,1,424
6962181067,2016-04-21,451,1,457
6962181067,2016-04-22,425,1,435
6962181067,2016-04-23,528,1,546
6962181067,2016-04-24,511,1,514
6962181067,2016-04-25,400,1,415
6962181067,2016-04-26,441,1,446
6962181067,2016-04-27,455,1,467
6962181067,2016-04-28,440,1,453
6962181067,2016-04-29,433,1,447
6962181067,2016-04-30,422,1,424
6962181067,2016-05-01,411,1,426
6962181067,2016-05-02,466,1,482
6962181067,2016-05-03,394,1,418
6962181067,2016-05-04,442,1,455
6962181067,2016-05-05,467,1,491
6962181067,2016-05-06,443,1,462
6962181067,2016-05-07,298,1,334
6962181067,2016-05-08,541,1,569
6962181067,2016-05-09,489,1,497
6962181067,2016-05-10,469,1,481
6962181067,2016-05-11,452,1,480
6962181067,2016-05-12,516,1,535
7007744171,2016-04-16,79,1,82
7007744171,2016-05-01,58,1,61
7086361926,2016-04-12,514,1,525
7086361926,2016-04-13,451,1,465
7086361926,2016-04-14,472,1,476
7086361926,2016-04-15,377,1,386
7086361926,2016-04-19,472,1,483
7086361926,2016-04-20,492,1,502
7086361926,2016-04-21,390,1,411
7086361926,2016-04-22,428,1,448
7086361926,2016-04-24,681,1,704
7086361926,2016-04-25,446,1,447
7086361926,2016-04-26,485,1,500
7086361926,2016-04-27,469,1,479
7086361926,2016-04-28,354,1,367
7086361926,2016-04-30,485,1,489
7086361926,2016-05-01,388,1,407
7086361926,2016-05-02,440,1,459
7086361926,2016-05-03,456,1,461
7086361926,2016-05-04,420,1,436
7086361926,2016-05-06,322,1,333
7086361926,2016-05-07,530,1,548
7086361926,2016-05-08,481,1,510
7086361926,2016-05-09,427,1,438
7086361926,2016-05-11,451,1,463
7086361926,2016-05-12,444,1,457
8053475328,2016-04-20,486,1,493
8053475328,2016-04-23,331,1,337
8053475328,2016-05-07,74,1,75
8378563200,2016-04-12,338,1,356
8378563200,2016-04-13,447,2,487
8378563200,2016-04-14,424,1,455
8378563200,2016-04-15,513,1,533
8378563200,2016-04-16,611,2,689
8378563200,2016-04-17,525,2,591
8378563200,2016-04-18,398,1,451
8378563200,2016-04-19,387,1,421
8378563200,2016-04-20,381,1,409
8378563200,2016-04-21,396,1,417
8378563200,2016-04-22,441,1,469
8378563200,2016-04-23,565,1,591
8378563200,2016-04-24,458,1,492
8378563200,2016-04-25,388,1,402
8378563200,2016-04-26,550,1,584
8378563200,2016-04-27,531,1,600
8378563200,2016-04-28,506,1,556
8378563200,2016-04-29,527,1,562
8378563200,2016-04-30,468,1,555
8378563200,2016-05-01,475,1,539
8378563200,2016-05-02,351,1,385
8378563200,2016-05-03,405,1,429
8378563200,2016-05-04,441,1,477
8378563200,2016-05-05,381,1,417
8378563200,2016-05-06,323,1,355
8378563200,2016-05-07,459,2,513
8378563200,2016-05-08,545,1,606
8378563200,2016-05-09,359,1,399
8378563200,2016-05-10,342,1,391
8378563200,2016-05-11,368,1,387
8378563200,2016-05-12,496,1,546
8792009665,2016-04-12,458,1,493
8792009665,2016-04-13,531,1,552
8792009665,2016-04-14,486,1,503
8792009665,2016-04-15,363,1,377
8792009665,2016-04-20,528,1,547
8792009665,2016-04-22,391,1,407
8792009665,2016-04-23,339,1,360
8792009665,2016-04-27,423,1,428
8792009665,2016-04-28,402,1,416
8792009665,2016-04-29,398,1,406
8792009665,2016-04-30,343,1,360
8792009665,2016-05-01,503,1,527
8792009665,2016-05-02,415,1,423
8792009665,2016-05-03,516,1,545
8792009665,2016-05-04,439,1,463
